Triazine_ID,SMILES,MolWt,LogP,TPSA,HBD,HBA,RotatableBonds,AromaticRings,n_triazine_rings
TRZ00133,Cc1ccc(S(=O)(=O)c2c(-c3nnc(C)c(C)n3)[nH]c3ccc(Cl)cc23)cc1,412.9,4.43,88.6,1,5,3,4,1
TRZ00134,Cc1nnc(-c2[nH]c3ccc(Cl)cc3c2S(=O)(=O)c2ccc(F)cc2)nc1C,416.87,4.26,88.6,1,5,3,4,1
TRZ00135,Cc1nnc(-c2[nH]c3ccc(Cl)cc3c2S(=O)(=O)c2ccc(Cl)cc2)nc1C,433.32,4.78,88.6,1,5,3,4,1
TRZ00136,Cc1cc(C)cc(S(=O)(=O)c2c(-c3nnc(C)c(C)n3)[nH]c3ccc(Cl)cc23)c1,426.93,4.74,88.6,1,5,3,4,1
TRZ00137,Cc1nnc(-c2ccc(F)c3c(C(=O)C(=O)N4CCN(C(=O)c5ccccc5)CC4)c[nH]c23)nc1C,486.51,2.94,112.15,1,6,4,4,1
TRZ00138,Cc1nnc(CCC(=O)Nc2ccccc2)nc1C,256.31,2.06,67.77,1,4,4,2,1
TRZ00139,Cc1nnc(-c2nc(-c3ccccc3)cc(-c3ccccc3)n2)nc1C,339.4,4.28,64.45,0,5,3,4,1
TRZ00140,Cc1nnc(-c2ccc3[nH]c4c(c3c2)CCCC4)nc1C,278.36,3.52,54.46,1,3,1,3,1
TRZ00141,CCn1cc(-c2nnc(C)c(C)n2)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,396.47,2.38,67.15,0,6,3,3,1
TRZ00142,Cc1nnc(CCn2nnc3ccccc32)nc1C,254.3,1.48,69.38,0,5,3,3,1
TRZ00143,Cc1nnc(CCN2CCN(Cc3ccccc3)CC2)nc1C,311.43,1.85,45.15,0,5,5,2,1
TRZ00144,Cc1nnc(Cn2c3ccccc3c3ccccc32)nc1C,288.35,3.64,43.6,0,3,2,4,1
TRZ00145,CCCCC#Cc1cncc(-c2nnc(C)c(C)n2)c1,266.35,3.09,51.56,0,4,3,2,1
TRZ00146,Cc1nnc(-c2csc(-c3ccccc3)n2)nc1C,268.35,3.28,51.56,0,5,2,3,1
TRZ00147,Cc1nnc(-c2sc(-c3ccc(Cl)cc3)nc2C)nc1C,316.82,4.24,51.56,0,5,2,3,1
TRZ00148,Cc1nnc(-c2sc(-c3ccc(C(F)(F)F)cc3)nc2C)nc1C,350.37,4.61,51.56,0,5,2,3,1
TRZ00149,Cc1nnc(-c2[nH]c3ccccc3c2-c2ccccc2)nc1C,300.37,4.3,54.46,1,3,2,4,1
TRZ00150,Cc1nnc(-c2nn(-c3ccccc3)nc2C)nc1C,266.31,2.04,69.38,0,5,2,3,1
TRZ00152,Cc1nnc(-c2cc3ccccc3oc2=O)nc1C,253.26,2.26,68.88,0,5,1,3,1
TRZ00153,Cc1cc(-c2nnc(C)c(C)n2)c2cc(Br)ccc2n1,329.2,3.77,51.56,0,4,1,3,1
TRZ00154,Cc1nnc(-c2c(C)nc3ccccn23)nc1C,239.28,2.11,55.97,0,4,1,3,1
TRZ00155,Cc1nnc(-c2ccc(COc3ccc4c(c3)CCC4)o2)nc1C,321.38,3.82,61.04,0,5,4,3,1
TRZ00156,Cc1nnc(-c2ccccc2-n2cccc2)nc1C,250.31,2.95,43.6,0,3,2,3,1
TRZ00158,Cc1nnc(CNc2ccc3ccccc3c2)nc1C,264.33,3.25,50.7,1,4,3,3,1
TRZ00159,Cc1nnc(CNC(=O)OCc2ccccc2)nc1C,272.31,1.91,77.0,1,5,4,2,1
TRZ00160,Cc1nnc(CNC(=O)c2ccccc2)nc1C,242.28,1.42,67.77,1,4,3,2,1
TRZ00161,Cc1cc(C)n(Cc2nnc(C)c(C)n2)n1,217.28,1.35,56.49,0,4,2,2,1
TRZ00162,Cc1cc(-c2nnc(C)c(C)n2)c(C)o1,203.25,2.37,51.81,0,4,1,2,1
TRZ00163,Cc1nnc(-c2ccc(F)cc2)nc1C,203.22,2.29,38.67,0,3,1,2,1
TRZ00164,Cc1nnc(Cn2c(C)nc3c(Br)cc(Br)cc3c2=O)nc1C,439.11,3.08,73.56,0,5,2,3,1
TRZ00165,Cc1nnc(-c2nonc2C)nc1C,191.19,0.85,77.59,0,6,1,2,1
TRZ00166,Cc1nnc(-c2cc(Cl)nc(Cl)c2)nc1C,255.11,2.86,51.56,0,4,1,2,1
TRZ00167,Cc1nnc(/C=C/c2ccccc2)nc1C,211.27,2.66,38.67,0,3,2,2,1
TRZ00168,Cc1nnc(-c2csnn2)nc1C,193.23,1.01,64.45,0,6,1,2,1
TRZ00169,CNc1ccccc1-c1nnc(C)c(C)n1,214.27,2.2,50.7,1,4,2,2,1
TRZ00170,Cc1cccc(OCc2nnc(C)c(C)n2)c1,229.28,2.38,47.9,0,4,3,2,1
TRZ00171,CC(=O)Nc1ccccc1-c1nnc(C)c(C)n1,242.28,2.11,67.77,1,4,2,2,1
TRZ00172,Cc1cc(-c2nnc(C)c(C)n2)no1,190.21,1.45,64.7,0,5,1,2,1
