cmplx_smiles_neutral_std,Exp LgK1
O=C(O)CC(O)(CC(=O)O)C(=O)O.[H+],5.61
CNC(C)C(=O)O.[H+],10.16
O=C(O)CN(CCOCCOCCN(CC(=O)O)CC(=O)O)CC(=O)O.[Cu+2],16.8
NC(Cc1cnc[nH]1)C(=O)O.[Zn+2],6.4
O=C(O)CC(O)C(=O)O.[Dy+3],4.77
Cc1cccc(C(=O)O)c1N.[Nd+3],5.1
O=C(O)c1cccc(C(=O)O)c1C(=O)O.[Pr+3],5.01
c1cnc2c(c1)ccc1cccnc12.[Zn+2],6.3
NC(Cc1c[nH]c2ccccc12)C(=O)O.[Cu+2],8.01
NCC(=O)O.[H+],9.55
O=C(O)c1ccccc1C(=O)O.[H+],4.719
O=C(O)c1cccnc1.[Ni+2],2.48
NCC(=O)NCC(=O)NCC(=O)O.[H+],7.93
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O.[Mg+2],1.95
O=C(O)CN(CCN(CC(=O)O)c1ccccc1O)c1ccccc1O.[Lu+3],19.2
O=N[O-].[Co+2],0.44
NCCN.[Cd+2],5.4
O=c1nc[nH]c2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O.[H+],9
O=[N+]([O-])c1ccc(O)c(O)c1.[Zn+2],6.52
O=C(O)CN(CC(=O)O)CC(=O)O.[Cr+3],10.6
CC[C@H](CO)NCCN[C@H](CC)CO.[Zn+2],6.22
[Cl-].[Ni+2],-0.57
Oc1cccc2cccnc12.[Zn+2],9.2
CC(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O.[Mg+2],9.2
Cc1ccnc2c1ccc1c(C)ccnc12.[Mn+3],12.28
CC(Cl)C(=O)O.[Cu+2],1.8
[OH-].[Pm+3],10.4
NC(CC(=O)O)C(=O)O.[Pr+3],5.48
NCCCCC(=O)O.[H+],11.03
CC(C)(C)P(=O)(O)O.[Cu+2],4.14
CC(=O)O.[Ho+3],2.01
O=C(O)CCP(=O)(O)O.[H+],7.75
C1CNCCCNCCNCCCNC1.[Cd+2],12.1
O=C(O)c1ccccc1.[H+],4.021
CC(=O)O.[H+],4.61
NCC(=O)NCC(=O)NCC(=O)O.[Mn+2],2.08
COC(=O)c1ccccc1O.[H+],10.19
O=c1nc[nH]c2c1ncn2C1OC(CO)C(O)C1O.[H+],8.55
O=P([O-])([O-])OP(=O)([O-])[O-].[Co+2],7.2
CCCCOP(=O)(O)O.[Cu+2],3.12
Cc1cncc(C)c1.[Cu+2],2.67
O=C(O)CN1CCCN(CC(=O)O)CCN(CC(=O)O)CCOCC1.[Fe+3],21.24
CNCc1cccc(C)n1.[H+],9.204
COCCNC(=O)C(CCO)NCCN(CCN)C(CCO)C(=O)NCCOC.[H+],9.29
NC(CSSCC(N)C(=O)NCC(=O)O)C(=O)NCC(=O)O.[Co+2],2.93
CCCCOP(=O)(O)O.[Cd+2],2.61
CCCCCC(=O)NO.[Zn+2],5.29
NCc1ccccn1.[Cu+2],9.72
CSCC[C@H](N)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O.[H+],7.59
O=C(O)CO.[Sm+3],2.914
NCC(=O)O.[H+],9.7
[F-].[Yb+3],3.29
Nc1c(C(=O)O)[nH]c(=O)[nH]c1=O.[Cd+2],4.48
O=S(=O)([O-])[O-].[Fe+3],1.53
CNCCNC.[Ni+2],6.84
NCCCNCCN.[Co+2],8.5
O=S(=O)(O)c1cc(O)c(O)c(S(=O)(=O)O)c1.[Gd+3],14.1
O=C(O)CN(CC(=O)O)[N+](=O)[O-].[Zn+2],1.6
c1ccncc1.[Zn+2],2.08
Cc1ccccn1.[Ag+],2.33
