Triazine_ID,SMILES,Source_Hydrazide_SMILES
TRZ05514,Cc1nnc([C@@H]2CC[C@@H](NC(=O)COc3ccc(C(F)(F)F)cc3)CO2)nc1C,C1C[C@H](OC[C@@H]1NC(=O)COC2=CC=C(C=C2)C(F)(F)F)C(=O)NN
TRZ05515,Cc1nnc(-c2cc(C3CC3(F)F)[nH]n2)nc1C,C1C(C1(F)F)C2=CC(=NN2)C(=O)NN
TRZ05516,Cc1nnc(COc2c(-c3csc(CCC4CCCOCC4)n3)ccc(F)c2F)nc1C,C1CC(CCOC1)CCC2=NC(=CS2)C3=C(C(=C(C=C3)F)F)OCC(=O)NN
TRZ05517,Cc1nnc(-c2cnc3[nH]nc(N4CC[C@H](F)C4)c3c2)nc1C,C1CN(C[C@H]1F)C2=NNC3=C2C=C(C=N3)C(=O)NN
TRZ05518,Cc1nnc(-c2cnn3ccc(N4CCCC4c4cc(F)ccc4F)nc23)nc1C,C1CC(N(C1)C2=NC3=C(C=NN3C=C2)C(=O)NN)C4=C(C=CC(=C4)F)F
TRZ05519,Cc1nnc(CCc2cc3cc(NC(=O)c4ccc(C(F)(F)F)cc4)ccc3s2)nc1C,C1=CC(=CC=C1C(=O)NC2=CC3=C(C=C2)SC(=C3)CCC(=O)NN)C(F)(F)F
TRZ05520,CCc1cc(C(F)(F)F)cnc1-c1nnc(C)c(C)n1,CCC1=C(N=CC(=C1)C(F)(F)F)C(=O)NN
TRZ05521,Cc1nnc(-c2nc(C(F)(F)F)sc2N(C)CCOCC=O)nc1C,CN(CCOCC=O)C1=C(N=C(S1)C(F)(F)F)C(=O)NN
TRZ05522,Cc1nnc(-c2c(F)ccc3[nH]c(=O)ccc23)nc1C,C1=CC(=O)NC2=C1C(=C(C=C2)F)C(=O)NN
TRZ05523,Cc1nnc(-c2cc3[nH]c(=O)ccc3cc2F)nc1C,C1=CC(=O)NC2=CC(=C(C=C21)F)C(=O)NN
TRZ05524,Cc1nnc(-c2nc(N3CCN(C(=O)OC(C)(C)C)CC3)ncc2F)nc1C,CC(C)(C)OC(=O)N1CCN(CC1)C2=NC=C(C(=N2)C(=O)NN)F
TRZ05525,CCOc1ccc(-c2cncc(-c3nnc(C)c(C)n3)n2)c(C(F)(F)F)c1,CCOC1=CC(=C(C=C1)C2=CN=CC(=N2)C(=O)NN)C(F)(F)F
TRZ05526,Cc1nnc(-c2cncc(-c3ccc(C(F)F)cc3)n2)nc1C,C1=CC(=CC=C1C2=CN=CC(=N2)C(=O)NN)C(F)F
TRZ05527,Cc1nnc(-c2cncc(N3CCC(F)(F)C(C)C3)n2)nc1C,CC1CN(CCC1(F)F)C2=NC(=CN=C2)C(=O)NN
