Triazine_ID,SMILES,MolWt,LogP,TPSA,HBD,HBA,RotatableBonds,AromaticRings,n_triazine_rings,mol,Has_Hydrazine,Has_Acyl_Hydrazide
TRZ00074,Cc1cc(-c2nnc(C)c(C)n2)n[nH]1,189.22,1.19,67.35,1,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27436C70>,False,False
TRZ00075,Cc1nnc(-c2nc(Cl)c(Cl)c(N)c2Cl)nc1C,304.57,3.09,77.58,1,5,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27436CE0>,False,False
TRZ00076,Cc1nnc(-c2cc(Cl)ccc2Cl)nc1C,254.12,3.46,38.67,0,3,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27436D50>,False,False
TRZ00077,Cc1nnc(-c2ccccc2CO)nc1C,215.26,1.65,58.9,1,4,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27436DC0>,False,False
TRZ00078,Cc1nnc(COc2ccc(F)cc2)nc1C,233.25,2.21,47.9,0,4,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27436EA0>,False,False
TRZ00079,Cc1nnc(-c2cc(Br)cs2)nc1C,270.15,2.98,38.67,0,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27436E30>,False,False
TRZ00080,Cc1nnc(-c2ccc(-c3nnc(C)c(C)n3)cc2)nc1C,292.35,2.62,77.34,0,6,2,3,2,<rdkit.Chem.rdchem.Mol object at 0x000001CB27436F10>,False,False
TRZ00081,Cc1nnc(-c2cc(-c3ccccc3)nc3ccccc23)nc1C,312.38,4.37,51.56,0,4,2,4,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27436F80>,False,False
TRZ00082,Cc1nnc(-c2cccc3ccccc23)nc1C,235.29,3.31,38.67,0,3,1,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27436FF0>,False,False
TRZ00083,Cc1nnc(-c2cccs2)nc1C,191.26,2.22,38.67,0,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27437060>,False,False
TRZ00084,Cc1nnc(-c2cccc(Cl)c2)nc1C,219.67,2.81,38.67,0,3,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB274370D0>,False,False
TRZ00085,COc1cc(-c2nnc(C)c(C)n2)cc(OC)c1OC,275.31,2.18,66.36,0,6,4,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27437140>,False,False
TRZ00086,Cc1nnc(-c2cccc(N)c2)nc1C,200.24,1.74,64.69,1,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27437220>,False,False
TRZ00087,Cc1nnc(COc2ccccc2)nc1C,215.26,2.07,47.9,0,4,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB274371B0>,False,False
TRZ00088,CCOc1ccc(-c2nnc(C)c(C)n2)cc1,229.28,2.55,47.9,0,4,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27437300>,False,False
TRZ00089,Cc1nnc(-c2cnc[nH]2)nc1C,175.19,0.88,67.35,1,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27437290>,False,False
TRZ00090,Cc1nnc(CCc2c[nH]c3ccccc23)nc1C,252.32,2.75,54.46,1,3,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27437370>,False,False
