molecule_id,triazine_smiles,metal,cmplx_smiles
TRZ00927,Cc1nnc(CNC(=O)CNS(=O)(=O)c2ccccc2)nc1C,Fe3+,Cc1nnc(CNC(=O)CNS(=O)(=O)c2ccccc2)nc1C.[Fe+3]
TRZ00951,Cc1nnc(CSc2nn(C)c(=O)n(C)c2=O)nc1C,Cu2+,Cc1nnc(CSc2nn(C)c(=O)n(C)c2=O)nc1C.[Cu+2]
TRZ00951,Cc1nnc(CSc2nn(C)c(=O)n(C)c2=O)nc1C,Zn2+,Cc1nnc(CSc2nn(C)c(=O)n(C)c2=O)nc1C.[Zn+2]
TRZ00951,Cc1nnc(CSc2nn(C)c(=O)n(C)c2=O)nc1C,Fe2+,Cc1nnc(CSc2nn(C)c(=O)n(C)c2=O)nc1C.[Fe+2]
TRZ00951,Cc1nnc(CSc2nn(C)c(=O)n(C)c2=O)nc1C,Fe3+,Cc1nnc(CSc2nn(C)c(=O)n(C)c2=O)nc1C.[Fe+3]
TRZ00968,Cc1nnc([C@H](Cc2cnc[nH]2)NC(=O)[C@@H](N)Cc2ccccc2)nc1C,Cu2+,Cc1nnc([C@H](Cc2cnc[nH]2)NC(=O)[C@@H](N)Cc2ccccc2)nc1C.[Cu+2]
TRZ00968,Cc1nnc([C@H](Cc2cnc[nH]2)NC(=O)[C@@H](N)Cc2ccccc2)nc1C,Zn2+,Cc1nnc([C@H](Cc2cnc[nH]2)NC(=O)[C@@H](N)Cc2ccccc2)nc1C.[Zn+2]
TRZ00968,Cc1nnc([C@H](Cc2cnc[nH]2)NC(=O)[C@@H](N)Cc2ccccc2)nc1C,Fe2+,Cc1nnc([C@H](Cc2cnc[nH]2)NC(=O)[C@@H](N)Cc2ccccc2)nc1C.[Fe+2]
TRZ00968,Cc1nnc([C@H](Cc2cnc[nH]2)NC(=O)[C@@H](N)Cc2ccccc2)nc1C,Fe3+,Cc1nnc([C@H](Cc2cnc[nH]2)NC(=O)[C@@H](N)Cc2ccccc2)nc1C.[Fe+3]
TRZ00969,Cc1nnc([C@H](Cc2cnc[nH]2)NC(=O)[C@@H](N)CC(C)C)nc1C,Cu2+,Cc1nnc([C@H](Cc2cnc[nH]2)NC(=O)[C@@H](N)CC(C)C)nc1C.[Cu+2]
TRZ00969,Cc1nnc([C@H](Cc2cnc[nH]2)NC(=O)[C@@H](N)CC(C)C)nc1C,Zn2+,Cc1nnc([C@H](Cc2cnc[nH]2)NC(=O)[C@@H](N)CC(C)C)nc1C.[Zn+2]
TRZ00969,Cc1nnc([C@H](Cc2cnc[nH]2)NC(=O)[C@@H](N)CC(C)C)nc1C,Fe2+,Cc1nnc([C@H](Cc2cnc[nH]2)NC(=O)[C@@H](N)CC(C)C)nc1C.[Fe+2]
TRZ00969,Cc1nnc([C@H](Cc2cnc[nH]2)NC(=O)[C@@H](N)CC(C)C)nc1C,Fe3+,Cc1nnc([C@H](Cc2cnc[nH]2)NC(=O)[C@@H](N)CC(C)C)nc1C.[Fe+3]
TRZ01087,Cc1nnc(CSc2ncnc3nc[nH]c23)nc1C,Cu2+,Cc1nnc(CSc2ncnc3nc[nH]c23)nc1C.[Cu+2]
TRZ01087,Cc1nnc(CSc2ncnc3nc[nH]c23)nc1C,Zn2+,Cc1nnc(CSc2ncnc3nc[nH]c23)nc1C.[Zn+2]
TRZ01087,Cc1nnc(CSc2ncnc3nc[nH]c23)nc1C,Fe2+,Cc1nnc(CSc2ncnc3nc[nH]c23)nc1C.[Fe+2]
TRZ01087,Cc1nnc(CSc2ncnc3nc[nH]c23)nc1C,Fe3+,Cc1nnc(CSc2ncnc3nc[nH]c23)nc1C.[Fe+3]
TRZ01202,Cc1nnc(CNC(=O)CNC(=O)OCc2ccccc2)nc1C,Cu2+,Cc1nnc(CNC(=O)CNC(=O)OCc2ccccc2)nc1C.[Cu+2]
TRZ01202,Cc1nnc(CNC(=O)CNC(=O)OCc2ccccc2)nc1C,Zn2+,Cc1nnc(CNC(=O)CNC(=O)OCc2ccccc2)nc1C.[Zn+2]
TRZ01202,Cc1nnc(CNC(=O)CNC(=O)OCc2ccccc2)nc1C,Fe2+,Cc1nnc(CNC(=O)CNC(=O)OCc2ccccc2)nc1C.[Fe+2]
TRZ01202,Cc1nnc(CNC(=O)CNC(=O)OCc2ccccc2)nc1C,Fe3+,Cc1nnc(CNC(=O)CNC(=O)OCc2ccccc2)nc1C.[Fe+3]
TRZ01204,COc1ccccc1NCc1nnc(C)c(C)n1,Cu2+,COc1ccccc1NCc1nnc(C)c(C)n1.[Cu+2]
TRZ01204,COc1ccccc1NCc1nnc(C)c(C)n1,Zn2+,COc1ccccc1NCc1nnc(C)c(C)n1.[Zn+2]
TRZ01204,COc1ccccc1NCc1nnc(C)c(C)n1,Fe2+,COc1ccccc1NCc1nnc(C)c(C)n1.[Fe+2]
TRZ01204,COc1ccccc1NCc1nnc(C)c(C)n1,Fe3+,COc1ccccc1NCc1nnc(C)c(C)n1.[Fe+3]
TRZ01323,CCCC[C@H](NC(=O)c1cccs1)c1nnc(C)c(C)n1,Cu2+,CCCC[C@H](NC(=O)c1cccs1)c1nnc(C)c(C)n1.[Cu+2]
TRZ01323,CCCC[C@H](NC(=O)c1cccs1)c1nnc(C)c(C)n1,Zn2+,CCCC[C@H](NC(=O)c1cccs1)c1nnc(C)c(C)n1.[Zn+2]
TRZ01323,CCCC[C@H](NC(=O)c1cccs1)c1nnc(C)c(C)n1,Fe2+,CCCC[C@H](NC(=O)c1cccs1)c1nnc(C)c(C)n1.[Fe+2]
TRZ01323,CCCC[C@H](NC(=O)c1cccs1)c1nnc(C)c(C)n1,Fe3+,CCCC[C@H](NC(=O)c1cccs1)c1nnc(C)c(C)n1.[Fe+3]
TRZ01634,Cc1nnc(C(NC(=O)COc2ccc3ccccc3c2)C(C)C)nc1C,Cu2+,Cc1nnc(C(NC(=O)COc2ccc3ccccc3c2)C(C)C)nc1C.[Cu+2]
TRZ01634,Cc1nnc(C(NC(=O)COc2ccc3ccccc3c2)C(C)C)nc1C,Zn2+,Cc1nnc(C(NC(=O)COc2ccc3ccccc3c2)C(C)C)nc1C.[Zn+2]
TRZ01634,Cc1nnc(C(NC(=O)COc2ccc3ccccc3c2)C(C)C)nc1C,Fe2+,Cc1nnc(C(NC(=O)COc2ccc3ccccc3c2)C(C)C)nc1C.[Fe+2]
TRZ01634,Cc1nnc(C(NC(=O)COc2ccc3ccccc3c2)C(C)C)nc1C,Fe3+,Cc1nnc(C(NC(=O)COc2ccc3ccccc3c2)C(C)C)nc1C.[Fe+3]
