molecule_id,triazine_smiles,metal,cmplx_smiles
TRZ00050,Cc1nnc(-c2ccc3ccccc3n2)nc1C,Fe2+,Cc1nnc(-c2ccc3ccccc3n2)nc1C.[Fe+2]
TRZ00050,Cc1nnc(-c2ccc3ccccc3n2)nc1C,Fe3+,Cc1nnc(-c2ccc3ccccc3n2)nc1C.[Fe+3]
TRZ00053,Cc1nnc(-c2cccnc2Oc2ccccc2)nc1C,Cu2+,Cc1nnc(-c2cccnc2Oc2ccccc2)nc1C.[Cu+2]
TRZ00053,Cc1nnc(-c2cccnc2Oc2ccccc2)nc1C,Zn2+,Cc1nnc(-c2cccnc2Oc2ccccc2)nc1C.[Zn+2]
TRZ00053,Cc1nnc(-c2cccnc2Oc2ccccc2)nc1C,Fe2+,Cc1nnc(-c2cccnc2Oc2ccccc2)nc1C.[Fe+2]
TRZ00053,Cc1nnc(-c2cccnc2Oc2ccccc2)nc1C,Fe3+,Cc1nnc(-c2cccnc2Oc2ccccc2)nc1C.[Fe+3]
TRZ00054,Cc1nnc(C(=O)Nc2ccc(Cl)c(Cl)c2)nc1C,Cu2+,Cc1nnc(C(=O)Nc2ccc(Cl)c(Cl)c2)nc1C.[Cu+2]
TRZ00054,Cc1nnc(C(=O)Nc2ccc(Cl)c(Cl)c2)nc1C,Zn2+,Cc1nnc(C(=O)Nc2ccc(Cl)c(Cl)c2)nc1C.[Zn+2]
TRZ00054,Cc1nnc(C(=O)Nc2ccc(Cl)c(Cl)c2)nc1C,Fe2+,Cc1nnc(C(=O)Nc2ccc(Cl)c(Cl)c2)nc1C.[Fe+2]
TRZ00054,Cc1nnc(C(=O)Nc2ccc(Cl)c(Cl)c2)nc1C,Fe3+,Cc1nnc(C(=O)Nc2ccc(Cl)c(Cl)c2)nc1C.[Fe+3]
TRZ00055,Cc1nnc(-c2ccc([N+](=O)[O-])o2)nc1C,Cu2+,Cc1nnc(-c2ccc([N+](=O)[O-])o2)nc1C.[Cu+2]
TRZ00055,Cc1nnc(-c2ccc([N+](=O)[O-])o2)nc1C,Zn2+,Cc1nnc(-c2ccc([N+](=O)[O-])o2)nc1C.[Zn+2]
TRZ00055,Cc1nnc(-c2ccc([N+](=O)[O-])o2)nc1C,Fe2+,Cc1nnc(-c2ccc([N+](=O)[O-])o2)nc1C.[Fe+2]
TRZ00055,Cc1nnc(-c2ccc([N+](=O)[O-])o2)nc1C,Fe3+,Cc1nnc(-c2ccc([N+](=O)[O-])o2)nc1C.[Fe+3]
TRZ00056,Cc1nnc(-c2c[nH]c3ccccc23)nc1C,Cu2+,Cc1nnc(-c2c[nH]c3ccccc23)nc1C.[Cu+2]
TRZ00056,Cc1nnc(-c2c[nH]c3ccccc23)nc1C,Zn2+,Cc1nnc(-c2c[nH]c3ccccc23)nc1C.[Zn+2]
TRZ00056,Cc1nnc(-c2c[nH]c3ccccc23)nc1C,Fe2+,Cc1nnc(-c2c[nH]c3ccccc23)nc1C.[Fe+2]
